,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
150,0.9,0.9,0.47147873742168567,0.995,151,2,6.000000000128125e-05,22.0716352,1.0
151,0.9,0.9,0.46912134373457726,0.995,152,2,6.389999999711904e-05,22.0716995,-1.0
152,0.9,0.9,0.46677573701590436,0.995,153,1,4.170000000058849e-05,22.0717416,1.0
153,0.9,0.9,0.46444185833082485,0.995,154,1,8.369999999757738e-05,22.0718257,1.0
154,0.9,0.9,0.46211964903917074,0.995,155,1,4.00999999996543e-05,22.0718663,1.0
155,0.9,0.9,0.4598090507939749,0.995,156,1,3.820000000231971e-05,22.0719048,1.0
156,0.9,0.9,0.457510005540005,0.995,157,1,4.2499999999279225e-05,22.0719477,1.0
157,0.9,0.9,0.45522245551230495,0.995,158,3,8.759999999696788e-05,22.0720357,1.0
158,0.9,0.9,0.4529463432347434,0.995,159,1,4.080000000072914e-05,22.0720769,-1.0
159,0.9,0.9,0.4506816115185697,0.995,160,1,4.2299999996942006e-05,22.0721196,-1.0
160,0.9,0.9,0.4484282034609769,0.995,161,2,6.210000000095306e-05,22.072182,-1.0
161,0.9,0.9,0.446186062443672,0.995,162,1,4.690000000096006e-05,22.0722293,-1.0
162,0.9,0.9,0.4439551321314536,0.995,163,1,4.219999999932611e-05,22.0722744,1.0
163,0.9,0.9,0.4417353564707963,0.995,164,1,6.529999999926872e-05,22.0723402,1.0
164,0.9,0.9,0.43952667968844233,0.995,165,1,5.189999999899442e-05,22.0723925,-1.0
165,0.9,0.9,0.43732904629000013,0.995,166,1,3.749999999769216e-05,22.0724303,-1.0
166,0.9,0.9,0.4351424010585501,0.995,167,1,3.549999999918896e-05,22.0724662,-1.0
167,0.9,0.9,0.43296668905325736,0.995,168,1,4.290000000040095e-05,22.0725094,1.0
168,0.9,0.9,0.43080185560799106,0.995,169,1,4.3300000001522676e-05,22.0725531,-1.0
169,0.9,0.9,0.4286478463299511,0.995,170,1,6.099999999875649e-05,22.0726144,1.0
170,0.9,0.9,0.42650460709830135,0.995,171,1,0.0001370999999998901,22.072752,1.0
171,0.9,0.9,0.42437208406280985,0.995,172,1,6.279999999847519e-05,22.0728153,-1.0
172,0.9,0.9,0.4222502236424958,0.995,173,1,4.129999999946676e-05,22.072857,-1.0
173,0.9,0.9,0.42013897252428334,0.995,174,1,5.589999999955353e-05,22.0729135,-1.0
174,0.9,0.9,0.4180382776616619,0.995,175,1,3.9799999999701186e-05,22.0729543,-1.0
175,0.9,0.9,0.4159480862733536,0.995,176,4,0.00010809999999850106,22.0730628,1.0
176,0.9,0.9,0.41386834584198684,0.995,177,1,4.990000000049122e-05,22.0731131,1.0
177,0.9,0.9,0.4117990041127769,0.995,178,1,4.38000000002603e-05,22.0731573,1.0
178,0.9,0.9,0.40974000909221303,0.995,179,1,3.8199999998767e-05,22.0731959,-1.0
179,0.9,0.9,0.40769130904675194,0.995,180,1,4.090000000189775e-05,22.0732371,-1.0
180,0.9,0.9,0.40565285250151817,0.995,181,1,4.709999999974457e-05,22.0732846,1.0
181,0.9,0.9,0.4036245882390106,0.995,182,1,6.47000000029152e-05,22.0733496,1.0
182,0.9,0.9,0.4016064652978155,0.995,183,1,5.469999999974107e-05,22.0734047,-1.0
183,0.9,0.9,0.3995984329713264,0.995,184,1,4.350000000030718e-05,22.0734486,-1.0
184,0.9,0.9,0.3976004408064698,0.995,185,1,7.62999999999181e-05,22.0735253,1.0
185,0.9,0.9,0.39561243860243744,0.995,186,2,0.00011720000000181585,22.0736429,1.0
186,0.9,0.9,0.3936343764094253,0.995,187,1,5.249999999890065e-05,22.0736958,-1.0
187,0.9,0.9,0.39166620452737816,0.995,188,1,4.3899999997876193e-05,22.0737402,-1.0
188,0.9,0.9,0.3897078735047413,0.995,189,2,9.879999999995448e-05,22.0738394,-1.0
189,0.9,0.9,0.3877593341372176,0.995,190,1,3.870000000105733e-05,22.0738785,1.0
190,0.9,0.9,0.3858205374665315,0.995,191,2,5.639999999829115e-05,22.0739352,-1.0
191,0.9,0.9,0.38389143477919885,0.995,192,1,4.219999999932611e-05,22.0739779,-1.0
192,0.9,0.9,0.3819719776053028,0.995,193,1,3.879999999867323e-05,22.0740171,0.0
193,0.9,0.9,0.3800621177172763,0.995,194,1,4.420000000138202e-05,22.0740616,-1.0
194,0.9,0.9,0.37816180712868996,0.995,195,1,4.300000000156956e-05,22.074105,1.0
195,0.9,0.9,0.37627099809304654,0.995,196,2,6.459999999819388e-05,22.07417,-1.0
196,0.9,0.9,0.3743896431025813,0.995,197,1,4.5300000000025875e-05,22.0742157,0.0
197,0.9,0.9,0.37251769488706843,0.995,198,1,4.369999999909169e-05,22.0742597,0.0
198,0.9,0.9,0.3706551064126331,0.995,199,1,6.149999999749411e-05,22.0743216,-1.0
199,0.9,0.9,0.36880183088056995,0.995,200,1,5.9100000001421904e-05,22.0743811,1.0
200,0.9,0.9,0.3669578217261671,0.995,201,1,4.450000000133514e-05,22.074426,1.0
201,0.9,0.9,0.36512303261753626,0.995,202,2,6.589999999917495e-05,22.0744927,-1.0
202,0.9,0.9,0.3632974174544486,0.995,203,1,4.38000000002603e-05,22.0745375,-1.0
203,0.9,0.9,0.3614809303671764,0.995,204,1,3.8199999998767e-05,22.0745762,-1.0
204,0.9,0.9,0.3596735257153405,0.995,205,1,3.799999999998249e-05,22.0746144,-1.0
205,0.9,0.9,0.3578751580867638,0.995,206,1,4.4800000001288254e-05,22.0746596,-1.0
206,0.9,0.9,0.35608578229633,0.995,207,1,4.289999999684824e-05,22.0747028,-1.0
207,0.9,0.9,0.3543053533848483,0.995,208,1,3.789999999881388e-05,22.0747411,-1.0
208,0.9,0.9,0.35253382661792404,0.995,209,1,4.7399999999697684e-05,22.0747889,-1.0
209,0.9,0.9,0.3507711574848344,0.995,210,1,3.889999999984184e-05,22.0748282,-1.0
210,0.9,0.9,0.34901730169741024,0.995,211,2,6.790000000123086e-05,22.0748964,-1.0
211,0.9,0.9,0.3472722151889232,0.995,212,1,4.00999999996543e-05,22.074937,-1.0
212,0.9,0.9,0.3455358541129786,0.995,213,1,3.799999999998249e-05,22.0749753,-1.0
213,0.9,0.9,0.3438081748424137,0.995,214,2,6.180000000099994e-05,22.0750375,-1.0
214,0.9,0.9,0.3420891339682016,0.995,215,1,3.6500000000216914e-05,22.0750744,-1.0
215,0.9,0.9,0.3403786882983606,0.995,216,1,4.2600000000447835e-05,22.0751174,-1.0
216,0.9,0.9,0.3386767948568688,0.995,217,1,3.81000000011511e-05,22.0751559,-1.0
217,0.9,0.9,0.33698341088258443,0.995,218,2,6.209999999740035e-05,22.0752184,-1.0
218,0.9,0.9,0.3352984938281715,0.995,219,1,4.039999999960742e-05,22.0752592,-1.0
219,0.9,0.9,0.33362200135903064,0.995,220,2,0.00015140000000002374,22.075411,1.0
220,0.9,0.9,0.33195389135223546,0.995,221,1,3.999999999848569e-05,22.0754514,0.0
221,0.9,0.9,0.3302941218954743,0.995,222,1,4.080000000072914e-05,22.0754926,-1.0
222,0.9,0.9,0.32864265128599696,0.995,223,1,4.2000000000541604e-05,22.0755351,-1.0
223,0.9,0.9,0.326999438029567,0.995,224,1,4.860000000306286e-05,22.0755841,0.0
224,0.9,0.9,0.3253644408394192,0.995,225,1,3.879999999867323e-05,22.0756232,-1.0
225,0.9,0.9,0.3237376186352221,0.995,226,2,7.079999999959341e-05,22.0756944,1.0
226,0.9,0.9,0.322118930542046,0.995,227,1,4.4800000001288254e-05,22.0757396,-1.0
227,0.9,0.9,0.32050833588933575,0.995,228,1,7.009999999851857e-05,22.0758101,-1.0
228,0.9,0.9,0.31890579420988907,0.995,229,1,8.97000000001924e-05,22.0759002,-1.0
229,0.9,0.9,0.3173112652388396,0.995,230,1,4.4800000001288254e-05,22.0759454,-1.0
230,0.9,0.9,0.3157247089126454,0.995,231,1,7.06999999984248e-05,22.0760165,-1.0
231,0.9,0.9,0.3141460853680822,0.995,232,2,7.189999999823726e-05,22.0760888,-1.0
232,0.9,0.9,0.3125753549412418,0.995,233,1,4.150000000180398e-05,22.0761307,-1.0
233,0.9,0.9,0.31101247816653554,0.995,234,1,5.050000000039745e-05,22.0761821,-1.0
234,0.9,0.9,0.30945741577570285,0.995,235,1,4.430000000255063e-05,22.0762275,1.0
235,0.9,0.9,0.3079101286968243,0.995,236,2,7.019999999968718e-05,22.0762981,1.0
236,0.9,0.9,0.3063705780533402,0.995,237,1,3.869999999750462e-05,22.0763372,-1.0
237,0.9,0.9,0.30483872516307353,0.995,238,1,4.140000000063537e-05,22.076379,-1.0
238,0.9,0.9,0.3033145315372582,0.995,239,1,4.089999999834504e-05,22.0764203,1.0
239,0.9,0.9,0.3017979588795719,0.995,240,1,4.7299999998529074e-05,22.076468,-1.0
240,0.9,0.9,0.30028896908517405,0.995,241,1,4.279999999923234e-05,22.0765112,-1.0
241,0.9,0.9,0.2987875242397482,0.995,242,1,4.2600000000447835e-05,22.0765542,-1.0
242,0.9,0.9,0.29729358661854943,0.995,243,1,3.859999999988872e-05,22.0765932,-1.0
243,0.9,0.9,0.29580711868545667,0.995,244,1,4.300000000156956e-05,22.0766366,-1.0
244,0.9,0.9,0.2943280830920294,0.995,245,1,3.910000000217906e-05,22.0766761,-1.0
245,0.9,0.9,0.29285644267656924,0.995,246,1,5.190000000254713e-05,22.0767284,-1.0
246,0.9,0.9,0.2913921604631864,0.995,247,1,3.9799999999701186e-05,22.0767686,-1.0
