,gamma,step,step_time,time,values,variation,policies,policy_changes
95,0.9,27,4.60000000000009e-05,0.001340200000000004,"[19.51728973 18.38871126 12.42250866 21.13587288 11.70925131  9.70925131
  0.        ]",0.04334479594021445,[3 1 0 2 3 2 0],0
96,0.9,28,5.119999999999951e-05,0.0013914000000000036,"[19.54984013 18.42088198 12.45187147 21.17388965 11.73832618  9.73832618
  0.        ]",0.03801677156172545,[3 1 0 2 3 2 0],0
97,0.9,29,4.509999999999931e-05,0.0014365000000000029,"[19.57879378 18.44953385 12.47824617 21.20729997 11.76449357  9.76449357
  0.        ]",0.033410323130134145,[3 1 0 2 3 2 0],0
98,0.9,30,4.3899999999999495e-05,0.0014804000000000024,"[19.60458047 18.47508028 12.50194609 21.2367174  11.78804421  9.78804421
  0.        ]",0.02941742608403075,[3 1 0 2 3 2 0],0
99,0.9,31,4.39999999999989e-05,0.0015244000000000013,"[19.62757225 18.49788045 12.52324914 21.26266507 11.80923979  9.80923979
  0.        ]",0.025947673041827102,[3 1 0 2 3 2 0],0
100,0.9,32,4.390000000000123e-05,0.0015683000000000025,"[19.64809241 18.51824755 12.54240254 21.28559029 11.82831581  9.82831581
  0.        ]",0.0229252172862644,[3 1 0 2 3 2 0],0
101,0.9,33,4.370000000000068e-05,0.0016120000000000032,"[19.6664228  18.53645553 12.55962668 21.30587656 11.84548423  9.84548423
  0.        ]",0.02028626791202015,[3 1 0 2 3 2 0],0
102,0.9,34,4.4399999999999995e-05,0.0016564000000000032,"[19.68280998 18.55274467 12.57511837 21.32385359 11.86093581  9.86093581
  0.        ]",0.017977034727866936,[3 1 0 2 3 2 0],0
103,0.9,35,4.4399999999999995e-05,0.0017008000000000032,"[19.69747021 18.5673263  12.58905367 21.33980563 11.87484222  9.87484222
  0.        ]",0.015952040076790297,[3 1 0 2 3 2 0],0
104,0.9,36,4.419999999999945e-05,0.0017450000000000026,"[19.71059367 18.58038667 12.60159024 21.35397836 11.887358    9.887358
  0.        ]",0.01417273021469967,[3 1 0 2 3 2 0],0
105,0.9,37,4.380000000000009e-05,0.0017888000000000027,"[19.722348   18.59209032 12.61286942 21.36658469 11.8986222   9.8986222
  0.        ]",0.012606331451152641,[3 1 0 2 3 2 0],0
106,0.9,38,4.4000000000000636e-05,0.0018328000000000034,"[19.73288129 18.60258285 12.62301798 21.3778096  11.90875998  9.90875998
  0.        ]",0.011224906454955885,[3 1 0 2 3 2 0],0
107,0.9,39,6.389999999999868e-05,0.001896700000000002,"[19.74232456 18.61199333 12.63214974 21.38781417 11.91788398  9.91788398
  0.        ]",0.010004574410082512,[3 1 0 2 3 2 0],0
